day,win,rule,n,risk
20260730,US  13:30-20:00,ORB OR30,2,12.329836589283762
20260730,US  13:30-20:00,pullback OR15,2,17.73647890736483
20260730,US  13:30-20:00,pullback OR30,0,
20260730,US* 13:30-18:30,ORB OR15,2,22.365823290289466
20260730,US* 13:30-18:30,ORB OR30,2,12.329836589283762
20260730,US* 13:30-18:30,pullback OR15,2,17.73647890736483
20260730,US* 13:30-18:30,pullback OR30,0,
20260731,EU  07:00-16:00,ORB OR15,2,5.257195102559884
20260731,EU  07:00-16:00,ORB OR30,2,4.681022974777182
20260731,EU  07:00-16:00,pullback OR15,2,6.716345816061138
20260731,EU  07:00-16:00,pullback OR30,2,11.963834047635649
20260731,EU- 07:00-13:30,ORB OR15,2,5.257195102559884
20260731,EU- 07:00-13:30,ORB OR30,2,4.681022974777182
20260731,EU- 07:00-13:30,pullback OR15,2,6.716345816061138
20260731,EU- 07:00-13:30,pullback OR30,1,6.169640975198482
20260731,US  13:30-20:00,ORB OR15,2,14.379711380159293
20260731,US  13:30-20:00,ORB OR30,2,21.63964406952534
20260731,US  13:30-20:00,pullback OR15,2,19.58127540539359
20260731,US  13:30-20:00,pullback OR30,1,27.89894663228237
20260731,US* 13:30-18:30,ORB OR15,2,14.379711380159293
20260731,US* 13:30-18:30,ORB OR30,2,21.63964406952534
20260731,US* 13:30-18:30,pullback OR15,2,19.58127540539359
20260731,US* 13:30-18:30,pullback OR30,1,27.89894663228237
20260803,EU  07:00-16:00,ORB OR15,2,3.7639673352337866
20260803,EU  07:00-16:00,ORB OR30,2,3.7639673352337866
20260803,EU  07:00-16:00,pullback OR15,2,5.506059069369421
20260803,EU  07:00-16:00,pullback OR30,2,5.506059069369421
20260803,EU- 07:00-13:30,ORB OR15,2,3.7639673352337866
20260803,EU- 07:00-13:30,ORB OR30,2,3.7639673352337866
20260803,EU- 07:00-13:30,pullback OR15,2,5.506059069369421
20260803,EU- 07:00-13:30,pullback OR30,2,5.506059069369421
20260803,US  13:30-20:00,ORB OR15,1,17.38896627113564
20260803,US  13:30-20:00,ORB OR30,1,11.971719237618608
20260803,US  13:30-20:00,pullback OR15,0,
20260803,US  13:30-20:00,pullback OR30,1,9.66641394996158
20260803,US* 13:30-18:30,ORB OR15,1,17.38896627113564
20260803,US* 13:30-18:30,ORB OR30,1,11.971719237618608
20260803,US* 13:30-18:30,pullback OR15,0,
20260803,US* 13:30-18:30,pullback OR30,1,9.66641394996158
20260804,EU  07:00-16:00,ORB OR15,2,3.6111636544976182
20260804,EU  07:00-16:00,ORB OR30,2,3.6133131566730397
20260804,EU  07:00-16:00,pullback OR15,2,8.737726342579059
20260804,EU  07:00-16:00,pullback OR30,2,5.835898405929187
20260804,EU- 07:00-13:30,ORB OR15,2,3.6111636544976182
20260804,EU- 07:00-13:30,ORB OR30,2,3.6133131566730397
20260804,EU- 07:00-13:30,pullback OR15,2,8.737726342579059
20260804,EU- 07:00-13:30,pullback OR30,2,5.835898405929187
20260804,US  13:30-20:00,ORB OR15,1,12.779825279825529
20260804,US  13:30-20:00,ORB OR30,1,9.887728637728141
20260804,US  13:30-20:00,pullback OR15,0,
20260804,US  13:30-20:00,pullback OR30,0,
20260804,US* 13:30-18:30,ORB OR15,1,12.779825279825529
20260804,US* 13:30-18:30,ORB OR30,1,9.887728637728141
20260804,US* 13:30-18:30,pullback OR15,0,
20260804,US* 13:30-18:30,pullback OR30,0,
20260805,EU  07:00-16:00,ORB OR15,2,4.606906708431749
20260805,EU  07:00-16:00,ORB OR30,2,3.1217156298479916
20260805,EU  07:00-16:00,pullback OR15,2,3.653312313363754
20260805,EU  07:00-16:00,pullback OR30,2,5.011010459936697
20260805,EU- 07:00-13:30,ORB OR15,2,4.606906708431749
20260805,EU- 07:00-13:30,ORB OR30,2,3.1217156298479916
20260805,EU- 07:00-13:30,pullback OR15,2,3.653312313363754
20260805,EU- 07:00-13:30,pullback OR30,2,5.011010459936697
20260805,US  13:30-20:00,ORB OR15,2,13.578341398298015
20260805,US  13:30-20:00,ORB OR30,2,11.40705823460692
20260805,US  13:30-20:00,pullback OR15,2,14.20198564992479
20260805,US  13:30-20:00,pullback OR30,2,14.20198564992479
20260805,US* 13:30-18:30,ORB OR15,2,13.578341398298015
20260805,US* 13:30-18:30,ORB OR30,2,11.40705823460692
20260805,US* 13:30-18:30,pullback OR15,2,14.20198564992479
20260805,US* 13:30-18:30,pullback OR30,2,14.20198564992479
20260806,EU  07:00-16:00,ORB OR15,2,3.0930323148839385
20260806,EU  07:00-16:00,ORB OR30,2,3.0930323148839385
20260806,EU  07:00-16:00,pullback OR15,2,7.142978118014177
20260806,EU  07:00-16:00,pullback OR30,2,7.142978118014177
20260806,EU- 07:00-13:30,ORB OR15,2,3.0930323148839385
20260806,EU- 07:00-13:30,ORB OR30,2,3.0930323148839385
20260806,EU- 07:00-13:30,pullback OR15,2,7.142978118014177
20260806,EU- 07:00-13:30,pullback OR30,2,7.142978118014177
20260806,US  13:30-20:00,ORB OR15,2,13.63625682640955
20260806,US  13:30-20:00,ORB OR30,2,11.731336413386297
20260806,US  13:30-20:00,pullback OR15,2,15.004603031181396
20260806,US  13:30-20:00,pullback OR30,0,
20260806,US* 13:30-18:30,ORB OR15,2,13.63625682640955
20260806,US* 13:30-18:30,ORB OR30,2,11.731336413386297
20260806,US* 13:30-18:30,pullback OR15,2,15.004603031181396
20260806,US* 13:30-18:30,pullback OR30,0,
20260807,EU  07:00-16:00,ORB OR15,2,3.2499485366064818
20260807,EU  07:00-16:00,ORB OR30,2,3.137711105659162
20260807,EU  07:00-16:00,pullback OR15,2,3.8132259510855606
20260807,EU  07:00-16:00,pullback OR30,2,3.8132259510855606
20260807,EU- 07:00-13:30,ORB OR15,2,3.2499485366064818
20260807,EU- 07:00-13:30,ORB OR30,2,3.137711105659162
20260807,EU- 07:00-13:30,pullback OR15,2,3.8132259510855606
20260807,EU- 07:00-13:30,pullback OR30,2,3.8132259510855606
20260807,US  13:30-20:00,ORB OR15,2,14.900072878125268
20260807,US  13:30-20:00,ORB OR30,2,13.479650184998563
20260807,US  13:30-20:00,pullback OR15,1,13.421964345778791
20260807,US  13:30-20:00,pullback OR30,0,
20260807,US* 13:30-18:30,ORB OR15,2,14.900072878125268
20260807,US* 13:30-18:30,ORB OR30,2,13.479650184998563
20260807,US* 13:30-18:30,pullback OR15,1,13.421964345778791
20260807,US* 13:30-18:30,pullback OR30,0,
20260810,EU  07:00-16:00,ORB OR15,2,3.065381867987954
20260810,EU  07:00-16:00,ORB OR30,2,3.223401292334918
20260810,EU  07:00-16:00,pullback OR15,2,5.510528074866675
20260810,EU  07:00-16:00,pullback OR30,2,6.000974821746547
20260810,EU- 07:00-13:30,ORB OR15,2,3.065381867987954
20260810,EU- 07:00-13:30,ORB OR30,2,3.223401292334918
20260810,EU- 07:00-13:30,pullback OR15,2,5.510528074866675
20260810,EU- 07:00-13:30,pullback OR30,2,6.000974821746547
20260810,US  13:30-20:00,ORB OR15,2,7.030713004409126
20260810,US  13:30-20:00,ORB OR30,2,7.030713004409126
20260810,US  13:30-20:00,pullback OR15,0,
