pivot,stop,model,cost,n,per_sess,win,avg_w,avg_l,exp,pf,dd_pts,dd_usd,pnl,rev_pct,same_pct,pnl_rev,pnl_oth,tp_dist
5/5,1.0,B,comm+1tick,544,15.11111111111111,43.93382352941177,37.31355734297376,-28.943537981919896,0.16573735383302585,1.0102133412744339,613.8884630005873,12277.769260011746,1803.2224097033213,6.4338235294117645,22.794117647058822,-6809.000000000001,8612.222409703314,33.20710320647413
5/5,1.0,B,comm+2.1pt,544,15.11111111111111,43.93382352941177,35.71355734297378,-30.54353798191989,-1.4342626461669736,0.916245450601739,1020.8619913742938,20417.239827485875,-15604.777590296673,6.4338235294117645,22.794117647058822,-7929.0,-7675.7775902966705,33.20710320647413
5/5,1.0,C,none,1113,30.916666666666668,41.59928122192273,31.732721382289416,-22.66730769230769,-0.03728661275831087,0.9971833375752949,896.0,17920.0,-830.0,27.85265049415993,33.153638814016176,-26845.0,26015.0,31.75
5/5,1.0,C,commission,1113,30.916666666666668,41.59928122192273,31.51272138228941,-22.887307692307694,-0.2572866127583098,0.9807511721310096,961.1200000000017,19222.400000000034,-5727.199999999975,27.85265049415993,33.153638814016176,-28208.999999999996,22481.80000000001,31.75
5/5,1.0,C,comm+1tick,1113,30.916666666666668,41.23989218328841,31.285446623093677,-23.24599388379205,-0.7572866127583098,0.9445591887852826,1248.8800000000174,24977.600000000348,-16857.199999999975,27.85265049415993,33.153638814016176,-31308.999999999996,14451.800000000017,31.75
5/5,1.0,C,comm+2.1pt,1113,30.916666666666668,39.35309973045822,31.157739726027398,-24.104814814814816,-2.35728661275831,0.8387499039687784,2742.9400000000137,54858.80000000027,-52473.19999999998,27.85265049415993,33.153638814016176,-41229.0,-11244.199999999964,31.75
5/5,1.2,A,none,739,20.52777777777778,47.36129905277402,34.337004835589326,-32.21333703782934,-0.6942306025160354,0.9590585825435856,1365.1298356688494,27302.59671337699,-10260.728305187004,21.10960757780785,0.0,-60016.967659506554,49756.23935431955,31.431590989413962
5/5,1.2,A,commission,739,20.52777777777778,47.36129905277402,34.11700483558932,-32.43333703782935,-0.9142306025160344,0.9464500639562845,1459.2898356688556,29185.796713377113,-13512.328305186988,21.10960757780785,0.0,-60703.367659506555,47191.03935431955,31.431590989413962
5/5,1.2,A,comm+1tick,739,20.52777777777778,47.22598105548038,33.714230342194725,-32.8496994991931,-1.414230602516034,0.9184228251397548,1673.289835668857,33465.79671337714,-20902.328305186984,21.10960757780785,0.0,-62263.367659506555,41361.03935431955,31.431590989413962
5/5,1.2,A,comm+2.1pt,739,20.52777777777778,46.9553450608931,32.30370719999209,-34.27781330014439,-3.0142306025160335,0.834223969157877,2586.820614034739,51736.41228069478,-44550.32830518698,21.10960757780785,0.0,-67255.36765950655,22705.039354319568,31.431590989413962
5/5,1.2,B,none,521,14.472222222222221,47.98464491362764,38.024185651278025,-32.674071525504885,1.2502361408976608,1.0735626263333384,804.3873524753617,16087.747049507234,13027.460588153626,9.021113243761997,17.65834932821497,-10655.0,23682.460588153626,33.33749614744738
5/5,1.2,B,commission,521,14.472222222222221,47.98464491362764,37.80418565127801,-32.8940715255049,1.030236140897661,1.0602126277789437,843.5473524753666,16870.947049507333,10735.060588153628,9.021113243761997,17.65834932821497,-10861.800000000003,21596.860588153635,33.33749614744738
5/5,1.2,B,comm+1tick,521,14.472222222222221,47.79270633397313,37.4548851920462,-33.27210802724935,0.5302361408976614,1.0305251514781222,932.5473524753642,18650.947049507282,5525.06058815363,9.021113243761997,17.65834932821497,-11331.800000000003,16856.860588153635,33.33749614744738
