setname,family,day,R,naive_R,risk_bps,mins,or_ratio,ambiguous,cost_risk,gross_R,grade,year
ORB OR15 R3,ORB,2025-06-10,-1.0866607932390233,-1.0866607932390233,7.6928290377853,22.0,0.6430801931721228,False,8.666079323902334,-1.0,B,2025
ORB OR15 R3,ORB,2025-06-10,-1.1792071524966572,-1.1792071524966572,3.7200896134940944,74.0,0.6430801931721228,False,17.92071524966572,-1.0,B,2025
ORB OR15 R3,ORB,2025-06-11,-1.0694201701093595,-1.0694201701093595,9.603356857473072,16.0,0.6427850030620935,False,6.94201701093597,-0.9999999999999998,B,2025
ORB OR15 R3,ORB,2025-06-11,2.869191882189153,2.869191882189153,5.096523654829196,52.0,0.6427850030620935,False,13.080811781084714,3.0000000000000004,B,2025
ORB OR15 R3,ORB,2025-06-12,-1.0759830700447215,-1.0759830700447215,8.773884317576098,18.0,0.6738639180724582,False,7.598307004472134,-1.0000000000000002,B,2025
ORB OR15 R3,ORB,2025-06-12,2.899627209457264,2.899627209457264,6.641906268241299,37.0,0.6738639180724582,False,10.037279054273561,2.9999999999999996,B,2025
ORB OR15 R3,ORB,2025-06-13,-1.512194510275941,-1.512194510275941,10.07542449969656,21.0,1.3296294737954448,False,6.616760084766103,-1.44602690942828,A,2025
ORB OR15 R3,ORB,2025-06-13,-1.0783899516822129,-1.0783899516822129,8.504491358398658,50.0,1.3296294737954448,False,7.838995168221276,-1.0,A,2025
ORB OR15 R3,ORB,2025-06-16,-1.0717861975642784,-1.0717861975642784,9.286836317938748,15.0,0.8626396573857412,False,7.17861975642784,-1.0,B,2025
ORB OR15 R3,ORB,2025-06-16,2.9284334817276143,2.9284334817276143,9.315343022966417,19.0,0.8626396573857412,False,7.156651827238571,3.0,B,2025
ORB OR15 R3,ORB,2025-06-17,-1.0795973053892207,-1.0795973053892207,8.375492906534342,15.0,0.8002394578316505,False,7.959730538922082,-0.9999999999999999,B,2025
ORB OR15 R3,ORB,2025-06-17,-1.219753350710972,-1.219753350710972,7.46751048503927,30.0,0.8002394578316505,False,8.92756251232985,-1.1304777255876735,B,2025
ORB OR15 R3,ORB,2025-06-18,2.908266035994458,2.908266035994458,7.267391896706744,18.0,0.7316940980868375,False,9.173396400554235,3.0000000000000004,B,2025
ORB OR15 R3,ORB,2025-06-18,-1.1325730577334276,-1.201476582765651,5.028673835125477,232.0,0.7316940980868375,False,13.257305773342761,-1.0,B,2025
ORB OR15 R3,ORB,2025-06-20,2.9178563574280854,2.9178563574280854,8.115864427159016,22.0,0.9320921073188011,False,8.21436425719146,3.0,B,2025
