time,price,volume,aggressor
2026-09-10 05:28:41.137,29485,1,B
2026-09-10 05:28:41.142,29485,1,S
2026-09-10 05:28:41.142,29485,1,S
2026-09-10 05:28:41.147,29485,1,S
2026-09-10 05:28:41.148,29485,1,S
2026-09-10 05:28:41.148,29485,1,S
2026-09-10 05:28:41.149,29485,1,B
2026-09-10 05:28:41.149,29485,1,B
2026-09-10 05:28:41.150,29485,1,S
2026-09-10 05:28:41.192,29490,1,S
2026-09-10 05:28:41.192,29490,1,S
2026-09-10 05:28:41.192,29490,1,B
2026-09-10 05:28:41.194,29490,1,B
2026-09-10 05:28:41.202,29490,1,B
2026-09-10 05:28:41.202,29490,1,B
2026-09-10 05:28:41.207,29490,1,S
2026-09-10 05:28:41.208,29490,1,S
2026-09-10 05:28:41.208,29490,1,B
2026-09-10 05:28:41.211,29490,1,S
2026-09-10 05:28:41.211,29490,1,S
2026-09-10 05:28:41.211,29490,2,S
2026-09-10 05:28:41.211,29490,1,S
2026-09-10 05:28:41.211,29490,1,S
2026-09-10 05:28:41.211,29490,1,S
2026-09-10 05:28:41.211,29490,1,S
2026-09-10 05:28:41.215,29490,1,B
2026-09-10 05:28:41.224,29490,1,S
2026-09-10 05:28:41.224,29485,1,S
2026-09-10 05:28:41.224,29485,1,S
2026-09-10 05:28:41.225,29485,1,S
2026-09-10 05:28:41.225,29485,1,S
2026-09-10 05:28:41.226,29490,1,B
2026-09-10 05:28:41.244,29490,1,B
2026-09-10 05:28:41.244,29490,1,B
2026-09-10 05:28:41.258,29490,1,S
2026-09-10 05:28:41.276,29490,1,B
2026-09-10 05:28:41.280,29490,1,S
2026-09-10 05:28:41.303,29490,1,S
2026-09-10 05:28:41.314,29490,1,S
2026-09-10 05:28:41.327,29490,1,S
2026-09-10 05:28:41.327,29490,1,S
2026-09-10 05:28:41.327,29490,2,S
2026-09-10 05:28:41.329,29490,1,S
2026-09-10 05:28:41.329,29490,1,S
2026-09-10 05:28:41.446,29490,1,S
2026-09-10 05:28:41.446,29490,2,S
2026-09-10 05:28:41.446,29490,1,S
2026-09-10 05:28:41.446,29490,1,S
2026-09-10 05:28:41.471,29490,1,S
2026-09-10 05:28:41.508,29490,1,S
2026-09-10 05:28:41.508,29490,1,S
2026-09-10 05:28:41.508,29490,1,S
2026-09-10 05:28:41.510,29490,1,B
2026-09-10 05:28:41.510,29490,1,S
2026-09-10 05:28:41.547,29490,1,S
2026-09-10 05:28:41.597,29490,1,S
2026-09-10 05:28:41.636,29490,1,S
2026-09-10 05:28:41.637,29490,1,S
2026-09-10 05:28:41.639,29490,1,S
2026-09-10 05:28:41.639,29490,1,S
2026-09-10 05:28:41.693,29490,1,B
2026-09-10 05:28:41.699,29490,2,B
2026-09-10 05:28:41.745,29490,1,B
2026-09-10 05:28:41.745,29490,1,B
2026-09-10 05:28:41.934,29490,1,B
2026-09-10 05:28:41.934,29490,1,B
2026-09-10 05:28:41.934,29490,1,S
2026-09-10 05:28:41.934,29490,1,S
2026-09-10 05:28:42.001,29490,1,S
2026-09-10 05:28:42.001,29490,1,S
2026-09-10 05:28:42.096,29490,1,B
2026-09-10 05:28:42.096,29490,4,B
2026-09-10 05:28:42.096,29490,1,B
2026-09-10 05:28:42.096,29490,1,B
2026-09-10 05:28:42.097,29490,1,S
2026-09-10 05:28:42.097,29490,1,S
2026-09-10 05:28:42.097,29490,1,S
2026-09-10 05:28:42.097,29490,1,S
2026-09-10 05:28:42.097,29490,2,S
2026-09-10 05:28:42.105,29490,1,B
2026-09-10 05:28:42.112,29490,1,B
2026-09-10 05:28:42.112,29490,1,B
2026-09-10 05:28:42.112,29490,1,B
2026-09-10 05:28:42.112,29490,1,B
2026-09-10 05:28:42.112,29490,1,B
2026-09-10 05:28:42.116,29490,1,B
2026-09-10 05:28:42.188,29490,1,B
2026-09-10 05:28:42.202,29490,1,S
2026-09-10 05:28:42.202,29490,1,S
2026-09-10 05:28:42.202,29490,1,S
2026-09-10 05:28:42.221,29490,1,B
2026-09-10 05:28:42.221,29490,1,B
2026-09-10 05:28:42.352,29490,1,B
